metabolite_id	comparison	metadata	value	beta	standard_error	p_value	q_value	n_samples	method	direction	feature	coef	stderr	N	N.not.0	pval	qval	original_metabolite_id
HILp_QI8772	UC_vs_non_IBD	model_group	UC	3.98171138697557	0.873363040840453	3.15309516384254e-5	0.0124860688157821	56	Maaslin2_LM_LOG	higher_in_case_group	HILp_QI8772	3.98171138697557	0.873363040840453	56	56	3.15309516384254e-5	0.0124860688157821	HILp_QI8772
HILn_QI27483	UC_vs_non_IBD	model_group	UC	-4.78226162417023	1.04910200387188	3.15977526723014e-5	0.0124860688157821	56	Maaslin2_LM_LOG	lower_in_case_group	HILn_QI27483	-4.78226162417023	1.04910200387188	56	56	3.15977526723014e-5	0.0124860688157821	HILn_QI27483
C18n_QI2493	UC_vs_non_IBD	model_group	UC	-2.65551483374882	0.583211649807174	3.21577160750318e-5	0.0126468318835737	56	Maaslin2_LM_LOG	lower_in_case_group	C18n_QI2493	-2.65551483374882	0.583211649807174	56	56	3.21577160750318e-5	0.0126468318835737	C18n_QI2493
HILn_QI3679	UC_vs_non_IBD	model_group	UC	3.26196474539505	0.71648259443471	3.22137665206231e-5	0.0126468318835737	56	Maaslin2_LM_LOG	higher_in_case_group	HILn_QI3679	3.26196474539505	0.71648259443471	56	56	3.22137665206231e-5	0.0126468318835737	HILn_QI3679
C18n_QI2291	UC_vs_non_IBD	model_group	UC	-2.36183353008623	0.518905426219829	3.23430491828615e-5	0.0126564945666448	56	Maaslin2_LM_LOG	lower_in_case_group	C18n_QI2291	-2.36183353008623	0.518905426219829	56	56	3.23430491828615e-5	0.0126564945666448	C18n_QI2291
C8p_QI23463	UC_vs_non_IBD	model_group	UC	2.12635464911526	0.467488051274923	3.2685195011186e-5	0.0127491239043954	56	Maaslin2_LM_LOG	higher_in_case_group	C8p_QI23463	2.12635464911526	0.467488051274923	56	56	3.2685195011186e-5	0.0127491239043954	C8p_QI23463
C18n_QI3807	UC_vs_non_IBD	model_group	UC	-4.72821946319819	1.04020242578089	3.30183668995785e-5	0.0128376684526149	56	Maaslin2_LM_LOG	lower_in_case_group	C18n_QI3807	-4.72821946319819	1.04020242578089	56	56	3.30183668995785e-5	0.0128376684526149	C18n_QI3807
HILn_QI18803	UC_vs_non_IBD	model_group	UC	-3.64482764559152	0.803391384789803	3.40048282773122e-5	0.0131788327744745	56	Maaslin2_LM_LOG	lower_in_case_group	HILn_QI18803	-3.64482764559152	0.803391384789803	56	56	3.40048282773122e-5	0.0131788327744745	HILn_QI18803
HILp_QI4505	UC_vs_non_IBD	model_group	UC	3.22334742630099	0.710999194557146	3.43823455256145e-5	0.0132825701478155	56	Maaslin2_LM_LOG	higher_in_case_group	HILp_QI4505	3.22334742630099	0.710999194557146	56	56	3.43823455256145e-5	0.0132825701478155	HILp_QI4505
C18n_QI5081	UC_vs_non_IBD	model_group	UC	-4.22055556021559	0.931874608595118	3.49041166971926e-5	0.013441197397424	56	Maaslin2_LM_LOG	lower_in_case_group	C18n_QI5081	-4.22055556021559	0.931874608595118	56	56	3.49041166971926e-5	0.013441197397424	C18n_QI5081
C18n_QI7929	UC_vs_non_IBD	model_group	UC	-5.02328000253281	1.11003598153896	3.53530706705405e-5	0.013507537799248	56	Maaslin2_LM_LOG	lower_in_case_group	C18n_QI7929	-5.02328000253281	1.11003598153896	56	56	3.53530706705405e-5	0.013507537799248	C18n_QI7929
C8p_QI2524	UC_vs_non_IBD	model_group	UC	2.3836753384939	0.526977825009389	3.55979252687303e-5	0.013535025504247	56	Maaslin2_LM_LOG	higher_in_case_group	C8p_QI2524	2.3836753384939	0.526977825009389	56	56	3.55979252687303e-5	0.013535025504247	C8p_QI2524
C18n_QI1370	UC_vs_non_IBD	model_group	UC	5.04107327546558	1.11469313764604	3.57074474921416e-5	0.013535025504247	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI1370	5.04107327546558	1.11469313764604	56	56	3.57074474921416e-5	0.013535025504247	C18n_QI1370
