original_metabolite_id	maaslin_metabolite_id
C18n_QI2668	C18n_QI2668
C18n_QI2715	C18n_QI2715
C18n_QI3049	C18n_QI3049
C18n_QI3082	C18n_QI3082
C18n_QI3139	C18n_QI3139
C18n_QI3385	C18n_QI3385
C18n_QI3492	C18n_QI3492
C18n_QI3524	C18n_QI3524
C18n_QI3565	C18n_QI3565
C18n_QI3570	C18n_QI3570
C18n_QI3694	C18n_QI3694
C18n_QI3941	C18n_QI3941
C18n_QI3995	C18n_QI3995
C18n_QI4052	C18n_QI4052
C18n_QI4098	C18n_QI4098
C18n_QI4161	C18n_QI4161
C18n_QI4347	C18n_QI4347
C18n_QI4364	C18n_QI4364
C18n_QI4404	C18n_QI4404
C18n_QI4427	C18n_QI4427
C18n_QI4463	C18n_QI4463
C18n_QI4527	C18n_QI4527
C18n_QI4626	C18n_QI4626
C18n_QI4687	C18n_QI4687
C18n_QI4863	C18n_QI4863
C18n_QI4891	C18n_QI4891
C18n_QI5111	C18n_QI5111
C18n_QI5395	C18n_QI5395
C18n_QI5444	C18n_QI5444
C18n_QI5491	C18n_QI5491
C18n_QI5561	C18n_QI5561
C18n_QI6327	C18n_QI6327
C18n_QI6677	C18n_QI6677
C18n_QI6801	C18n_QI6801
C18n_QI6870	C18n_QI6870
C18n_QI7304	C18n_QI7304
C18n_QI7376	C18n_QI7376
C18n_QI7889	C18n_QI7889
C18n_QI8830	C18n_QI8830
C18n_QI9877	C18n_QI9877
C18n_QI11191	C18n_QI11191
C18n_QI13159	C18n_QI13159
C18n_QI13415	C18n_QI13415
C18n_QI109	C18n_QI109
C18n_QI246	C18n_QI246
C18n_QI472	C18n_QI472
C18n_QI557	C18n_QI557
C18n_QI766	C18n_QI766
C18n_QI770	C18n_QI770
C18n_QI881	C18n_QI881
C18n_QI924	C18n_QI924
C18n_QI936	C18n_QI936
C18n_QI969	C18n_QI969
C18n_QI1071	C18n_QI1071
C18n_QI1282	C18n_QI1282
C18n_QI1285	C18n_QI1285
C18n_QI1303	C18n_QI1303
C18n_QI1390	C18n_QI1390
C18n_QI1420	C18n_QI1420
C18n_QI1459	C18n_QI1459
C18n_QI1634	C18n_QI1634
C18n_QI1635	C18n_QI1635
C18n_QI1800	C18n_QI1800
C18n_QI1862	C18n_QI1862
C18n_QI1901	C18n_QI1901
C18n_QI1994	C18n_QI1994
C18n_QI2081	C18n_QI2081
C18n_QI2154	C18n_QI2154
C18n_QI2217	C18n_QI2217
C18n_QI2297	C18n_QI2297
C18n_QI2321	C18n_QI2321
C18n_QI2407	C18n_QI2407
C18n_QI2437	C18n_QI2437
C18n_QI2453	C18n_QI2453
C18n_QI2480	C18n_QI2480
C18n_QI2598	C18n_QI2598
C18n_QI2703	C18n_QI2703
C18n_QI2799	C18n_QI2799
C18n_QI2816	C18n_QI2816
C18n_QI3112	C18n_QI3112
C18n_QI3168	C18n_QI3168
C18n_QI3465	C18n_QI3465
C18n_QI3594	C18n_QI3594
C18n_QI3613	C18n_QI3613
C18n_QI3646	C18n_QI3646
C18n_QI3699	C18n_QI3699
C18n_QI3788	C18n_QI3788
C18n_QI3823	C18n_QI3823
C18n_QI3928	C18n_QI3928
C18n_QI4081	C18n_QI4081
C18n_QI4369	C18n_QI4369
C18n_QI4451	C18n_QI4451
C18n_QI4524	C18n_QI4524
C18n_QI4558	C18n_QI4558
C18n_QI4782	C18n_QI4782
C18n_QI4895	C18n_QI4895
C18n_QI4954	C18n_QI4954
C18n_QI5124	C18n_QI5124
C18n_QI5213	C18n_QI5213
C18n_QI5277	C18n_QI5277
C18n_QI5321	C18n_QI5321
C18n_QI5378	C18n_QI5378
C18n_QI5454	C18n_QI5454
C18n_QI5627	C18n_QI5627
C18n_QI5920	C18n_QI5920
C18n_QI6447	C18n_QI6447
C18n_QI6513	C18n_QI6513
C18n_QI6586	C18n_QI6586
C18n_QI6674	C18n_QI6674
C18n_QI6997	C18n_QI6997
C18n_QI7375	C18n_QI7375
C18n_QI7716	C18n_QI7716
C18n_QI8081	C18n_QI8081
C18n_QI8943	C18n_QI8943
C18n_QI10278	C18n_QI10278
C18n_QI10684	C18n_QI10684
C18n_QI11098	C18n_QI11098
C18n_QI11530	C18n_QI11530
C18n_QI12867	C18n_QI12867
C18n_QI183	C18n_QI183
C18n_QI339	C18n_QI339
C18n_QI432	C18n_QI432
C18n_QI455	C18n_QI455
C18n_QI580	C18n_QI580
C18n_QI661	C18n_QI661
C18n_QI665	C18n_QI665
C18n_QI676	C18n_QI676
C18n_QI779	C18n_QI779
C18n_QI928	C18n_QI928
C18n_QI952	C18n_QI952
C18n_QI974	C18n_QI974
C18n_QI1076	C18n_QI1076
C18n_QI1113	C18n_QI1113
C18n_QI1124	C18n_QI1124
C18n_QI1218	C18n_QI1218
C18n_QI1363	C18n_QI1363
C18n_QI1422	C18n_QI1422
C18n_QI1453	C18n_QI1453
C18n_QI1463	C18n_QI1463
C18n_QI1493	C18n_QI1493
C18n_QI1500	C18n_QI1500
C18n_QI1607	C18n_QI1607
C18n_QI1613	C18n_QI1613
C18n_QI1718	C18n_QI1718
C18n_QI1879	C18n_QI1879
C18n_QI1935	C18n_QI1935
C18n_QI2012	C18n_QI2012
C18n_QI2187	C18n_QI2187
C18n_QI2449	C18n_QI2449
C18n_QI2772	C18n_QI2772
C18n_QI2895	C18n_QI2895
C18n_QI2961	C18n_QI2961
C18n_QI2972	C18n_QI2972
C18n_QI3224	C18n_QI3224
C18n_QI3273	C18n_QI3273
C18n_QI3561	C18n_QI3561
C18n_QI3754	C18n_QI3754
C18n_QI4986	C18n_QI4986
C18n_QI5140	C18n_QI5140
C18n_QI5330	C18n_QI5330
C18n_QI5487	C18n_QI5487
C18n_QI5688	C18n_QI5688
C18n_QI5866	C18n_QI5866
C18n_QI6376	C18n_QI6376
C18n_QI6593	C18n_QI6593
C18n_QI7523	C18n_QI7523
C18n_QI7836	C18n_QI7836
C18n_QI8561	C18n_QI8561
C18n_QI9274	C18n_QI9274
C18n_QI9722	C18n_QI9722
C18n_QI10936	C18n_QI10936
C18n_QI11148	C18n_QI11148
C18n_QI96	C18n_QI96
C18n_QI123	C18n_QI123
C18n_QI191	C18n_QI191
C18n_QI208	C18n_QI208
C18n_QI218	C18n_QI218
C18n_QI236	C18n_QI236
C18n_QI351	C18n_QI351
C18n_QI469	C18n_QI469
C18n_QI775	C18n_QI775
C18n_QI955	C18n_QI955
C18n_QI1182	C18n_QI1182
C18n_QI1377	C18n_QI1377
C18n_QI1451	C18n_QI1451
C18n_QI1759	C18n_QI1759
C18n_QI1825	C18n_QI1825
C18n_QI1920	C18n_QI1920
C18n_QI2053	C18n_QI2053
C18n_QI2184	C18n_QI2184
C18n_QI2634	C18n_QI2634
C18n_QI2996	C18n_QI2996
C18n_QI3041	C18n_QI3041
C18n_QI3229	C18n_QI3229
C18n_QI3292	C18n_QI3292
C18n_QI3459	C18n_QI3459
C18n_QI3464	C18n_QI3464
C18n_QI3875	C18n_QI3875
C18n_QI4022	C18n_QI4022
C18n_QI4044	C18n_QI4044
C18n_QI5186	C18n_QI5186
C18n_QI5391	C18n_QI5391
C18n_QI8698	C18n_QI8698
C18n_QI93	C18n_QI93
C18n_QI136	C18n_QI136
C18n_QI148	C18n_QI148
C18n_QI162	C18n_QI162
C18n_QI175	C18n_QI175
C18n_QI178	C18n_QI178
C18n_QI182	C18n_QI182
C18n_QI190	C18n_QI190
C18n_QI235	C18n_QI235
C18n_QI244	C18n_QI244
C18n_QI248	C18n_QI248
C18n_QI250	C18n_QI250
C18n_QI335	C18n_QI335
C18n_QI342	C18n_QI342
C18n_QI346	C18n_QI346
C18n_QI394	C18n_QI394
C18n_QI426	C18n_QI426
C18n_QI465	C18n_QI465
C18n_QI476	C18n_QI476
C18n_QI536	C18n_QI536
C18n_QI568	C18n_QI568
C18n_QI569	C18n_QI569
C18n_QI588	C18n_QI588
C18n_QI620	C18n_QI620
C18n_QI727	C18n_QI727
C18n_QI750	C18n_QI750
C18n_QI751	C18n_QI751
C18n_QI763	C18n_QI763
C18n_QI768	C18n_QI768
C18n_QI781	C18n_QI781
C18n_QI819	C18n_QI819
C18n_QI854	C18n_QI854
C18n_QI911	C18n_QI911
C18n_QI935	C18n_QI935
C18n_QI950	C18n_QI950
C18n_QI985	C18n_QI985
C18n_QI998	C18n_QI998
C18n_QI1036	C18n_QI1036
C18n_QI82	C18n_QI82
C18n_QI1090	C18n_QI1090
C18n_QI1152	C18n_QI1152
C18n_QI1155	C18n_QI1155
C18n_QI1167	C18n_QI1167
C18n_QI1277	C18n_QI1277
C18n_QI1421	C18n_QI1421
C18n_QI1424	C18n_QI1424
C18n_QI1512	C18n_QI1512
C18n_QI1562	C18n_QI1562
C18n_QI1592	C18n_QI1592
C18n_QI1594	C18n_QI1594
C18n_QI1600	C18n_QI1600
C18n_QI1605	C18n_QI1605
C18n_QI1638	C18n_QI1638
C18n_QI1640	C18n_QI1640
C18n_QI1650	C18n_QI1650
C18n_QI1663	C18n_QI1663
C18n_QI1683	C18n_QI1683
C18n_QI1725	C18n_QI1725
C18n_QI1753	C18n_QI1753
C18n_QI1795	C18n_QI1795
C18n_QI1854	C18n_QI1854
C18n_QI1897	C18n_QI1897
C18n_QI1939	C18n_QI1939
C18n_QI2009	C18n_QI2009
