metabolite_id	comparison	metadata	value	beta	standard_error	p_value	q_value	n_samples	method	direction	feature	coef	stderr	N	N.not.0	pval	qval	original_metabolite_id	abs_beta	q_value_safe	p_value_safe	selection_source	metabolite_label
C18n_QI873	UC_vs_non_IBD	model_group	UC	3.77871770710065	0.670465225703765	7.18905150090262e-7	0.00121214811021352	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI873	3.77871770710065	0.670465225703765	56	56	7.18905150090262e-7	0.00121214811021352	C18n_QI873	3.77871770710065	0.00121214811021352	7.18905150090262e-7	FDR_lt_0.10	C18n QI873
C18n_QI11341	UC_vs_non_IBD	model_group	UC	3.21930682066048	0.57148118941914	7.25913907188933e-7	0.00121214811021352	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI11341	3.21930682066048	0.57148118941914	56	56	7.25913907188933e-7	0.00121214811021352	C18n_QI11341	3.21930682066048	0.00121214811021352	7.25913907188933e-7	FDR_lt_0.10	C18n QI11341
C18n_QI2042	UC_vs_non_IBD	model_group	UC	7.01306308725204	1.2454322481802	7.31791892403007e-7	0.00121214811021352	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI2042	7.01306308725204	1.2454322481802	56	56	7.31791892403007e-7	0.00121214811021352	C18n_QI2042	7.01306308725204	0.00121214811021352	7.31791892403007e-7	FDR_lt_0.10	C18n QI2042
C18n_QI2320	UC_vs_non_IBD	model_group	UC	-3.15181561885418	0.561324116017565	7.75326619342176e-7	0.00126690465077861	56	Maaslin2_LM_LOG	lower_in_case_group	C18n_QI2320	-3.15181561885418	0.561324116017565	56	56	7.75326619342176e-7	0.00126690465077861	C18n_QI2320	3.15181561885418	0.00126690465077861	7.75326619342176e-7	FDR_lt_0.10	C18n QI2320
C18n_QI1722	UC_vs_non_IBD	model_group	UC	5.20714451060823	0.930669172841763	8.3287130142405e-7	0.00134278842700791	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI1722	5.20714451060823	0.930669172841763	56	56	8.3287130142405e-7	0.00134278842700791	C18n_QI1722	5.20714451060823	0.00134278842700791	8.3287130142405e-7	FDR_lt_0.10	C18n QI1722
C8p_QI2513	IBD_vs_non_IBD	model_group	IBD	5.52524382413325	0.959687973327682	9.23960861774543e-8	0.00139654374355068	105	Maaslin2_LM_LOG	higher_in_case_group	C8p_QI2513	5.52524382413325	0.959687973327682	105	105	9.23960861774543e-8	0.00139654374355068	C8p_QI2513	5.52524382413325	0.00139654374355068	9.23960861774543e-8	FDR_lt_0.10	C8p QI2513
C18n_QI2823	UC_vs_non_IBD	model_group	UC	-5.55032651572851	0.995048158964546	8.85674391864013e-7	0.00140913126467648	56	Maaslin2_LM_LOG	lower_in_case_group	C18n_QI2823	-5.55032651572851	0.995048158964546	56	56	8.85674391864013e-7	0.00140913126467648	C18n_QI2823	5.55032651572851	0.00140913126467648	8.85674391864013e-7	FDR_lt_0.10	C18n QI2823
C18n_QI11343	UC_vs_non_IBD	model_group	UC	3.65582840715884	0.655853139698239	8.97816091346032e-7	0.00140989774199194	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI11343	3.65582840715884	0.655853139698239	56	56	8.97816091346032e-7	0.00140989774199194	C18n_QI11343	3.65582840715884	0.00140989774199194	8.97816091346032e-7	FDR_lt_0.10	C18n QI11343
HILp_QI4213	UC_vs_non_IBD	model_group	UC	4.96273339354818	0.894834191925535	9.93383820280556e-7	0.00153409083161569	56	Maaslin2_LM_LOG	higher_in_case_group	HILp_QI4213	4.96273339354818	0.894834191925535	56	56	9.93383820280556e-7	0.00153409083161569	HILp_QI4213	4.96273339354818	0.00153409083161569	9.93383820280556e-7	FDR_lt_0.10	HILp QI4213
C18n_QI743	UC_vs_non_IBD	model_group	UC	3.35406471525391	0.605337574293705	1.01196024239954e-6	0.00153409083161569	56	Maaslin2_LM_LOG	higher_in_case_group	C18n_QI743	3.35406471525391	0.605337574293705	56	56	1.01196024239954e-6	0.00153409083161569	C18n_QI743	3.35406471525391	0.00153409083161569	1.01196024239954e-6	FDR_lt_0.10	C18n QI743
HILp_QI9275	UC_vs_non_IBD	model_group	UC	7.09148320586765	1.28005316464643	1.01496275599377e-6	0.00153409083161569	56	Maaslin2_LM_LOG	higher_in_case_group	HILp_QI9275	7.09148320586765	1.28005316464643	56	56	1.01496275599377e-6	0.00153409083161569	HILp_QI9275	7.09148320586765	0.00153409083161569	1.01496275599377e-6	FDR_lt_0.10	HILp QI9275
C18n_QI2596	UC_vs_non_IBD	model_group	UC	-4.15992887504506	0.752228601139364	1.05146898756842e-6	0.00156548814186874	56	Maaslin2_LM_LOG	lower_in_case_group	C18n_QI2596	-4.15992887504506	0.752228601139364	56	56	1.05146898756842e-6	0.00156548814186874	C18n_QI2596	4.15992887504506	0.00156548814186874	1.05146898756842e-6	FDR_lt_0.10	C18n QI2596
HILn_QI2276	UC_vs_non_IBD	model_group	UC	5.41714469592573	0.980042746790893	1.06162877018506e-6	0.00156548814186874	56	Maaslin2_LM_LOG	higher_in_case_group	HILn_QI2276	5.41714469592573	0.980042746790893	56	56	1.06162877018506e-6	0.00156548814186874	HILn_QI2276	5.41714469592573	0.00156548814186874	1.06162877018506e-6	FDR_lt_0.10	HILn QI2276
