feature_id	comparison	metadata	value	beta	standard_error	p_value	q_value	n_samples	method	feature_label	feature	coef	stderr	N	N.not.0	pval	qval	original_feature_id	direction
Eubacterium	CD_vs_non_IBD	model_group	CD	-0.0165748612477117	0.012546325453062	0.190712329438534	0.687969904973528	75	MaasLin2_LM_CLR	Eubacterium	Eubacterium	-0.0165748612477117	0.012546325453062	75	40	0.190712329438534	0.687969904973528	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	lower_in_case_group
Holdemania	CD_vs_non_IBD	model_group	CD	4.2039434472273e-4	3.2946814479719e-4	0.206121550917495	0.687969904973528	75	MaasLin2_LM_CLR	Holdemania	Holdemania	4.2039434472273e-4	3.2946814479719e-4	75	0	0.206121550917495	0.687969904973528	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania	higher_in_case_group
Lactobacillus	CD_vs_non_IBD	model_group	CD	7.3350185325834e-4	5.7854557340905e-4	0.208997984659145	0.687969904973528	75	MaasLin2_LM_CLR	Lactobacillus	Lactobacillus	7.3350185325834e-4	5.7854557340905e-4	75	0	0.208997984659145	0.687969904973528	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	higher_in_case_group
Escherichia	CD_vs_non_IBD	model_group	CD	0.0157595139323935	0.0127244926503877	0.21960331210573	0.687969904973528	75	MaasLin2_LM_CLR	Escherichia	Escherichia	0.0157595139323935	0.0127244926503877	75	11	0.21960331210573	0.687969904973528	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia	higher_in_case_group
Acidaminococcus	CD_vs_non_IBD	model_group	CD	0.0134818654972049	0.0109289221498054	0.221422017897952	0.687969904973528	75	MaasLin2_LM_CLR	Acidaminococcus	Acidaminococcus	0.0134818654972049	0.0109289221498054	75	6	0.221422017897952	0.687969904973528	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus	higher_in_case_group
Paraprevotella	CD_vs_non_IBD	model_group	CD	-0.00413377196412662	0.00345936289248391	0.236082227647075	0.687969904973528	75	MaasLin2_LM_CLR	Paraprevotella	Paraprevotella	-0.00413377196412662	0.00345936289248391	75	4	0.236082227647075	0.687969904973528	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella	lower_in_case_group
Veillonella	CD_vs_non_IBD	model_group	CD	0.0162407053268562	0.0137202021309869	0.240476909295518	0.687969904973528	75	MaasLin2_LM_CLR	Veillonella	Veillonella	0.0162407053268562	0.0137202021309869	75	7	0.240476909295518	0.687969904973528	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella	higher_in_case_group
Subdoligranulum	CD_vs_non_IBD	model_group	CD	-0.014708033600726301	0.0128339327539224	0.25563189517539	0.687969904973528	75	MaasLin2_LM_CLR	Subdoligranulum	Subdoligranulum	-0.014708033600726301	0.0128339327539224	75	35	0.25563189517539	0.687969904973528	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum	lower_in_case_group
Sutterella	CD_vs_non_IBD	model_group	CD	-0.00239074056126588	0.00210539622025535	0.25997201579676	0.687969904973528	75	MaasLin2_LM_CLR	Sutterella	Sutterella	-0.00239074056126588	0.00210539622025535	75	4	0.25997201579676	0.687969904973528	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella	lower_in_case_group
Coprobacillus	CD_vs_non_IBD	model_group	CD	4.4558143051394e-4	3.9876100899701e-4	0.267583984109168	0.687969904973528	75	MaasLin2_LM_CLR	Coprobacillus	Coprobacillus	4.4558143051394e-4	3.9876100899701e-4	75	0	0.267583984109168	0.687969904973528	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	higher_in_case_group
Bilophila	CD_vs_non_IBD	model_group	CD	-0.00143682296667509	0.00136176230710695	0.294947586301119	0.701708227496494	75	MaasLin2_LM_CLR	Bilophila	Bilophila	-0.00143682296667509	0.00136176230710695	75	1	0.294947586301119	0.701708227496494	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila	lower_in_case_group
Dialister	CD_vs_non_IBD	model_group	CD	0.00428561995492228	0.00447617350640635	0.341599461178398	0.701708227496494	75	MaasLin2_LM_CLR	Dialister	Dialister	0.00428561995492228	0.00447617350640635	75	9	0.341599461178398	0.701708227496494	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister	higher_in_case_group
Desulfovibrio	CD_vs_non_IBD	model_group	CD	-0.0010975048715339301	0.0011794357562022	0.355247983740601	0.701708227496494	75	MaasLin2_LM_CLR	Desulfovibrio	Desulfovibrio	-0.0010975048715339301	0.0011794357562022	75	1	0.355247983740601	0.701708227496494	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	lower_in_case_group
Anaerostipes	CD_vs_non_IBD	model_group	CD	3.596100533588e-4	3.902836392095e-4	0.3599583597449	0.701708227496494	75	MaasLin2_LM_CLR	Anaerostipes	Anaerostipes	3.596100533588e-4	3.902836392095e-4	75	0	0.3599583597449	0.701708227496494	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	higher_in_case_group
